t °C,T K,Uinc (µV),Udec (µV),Ucorr(µV),T4-T04 K,εT (W/m^2)
50 ,323.15,1.8 ,— ,1.2 ,3.72 x 10^9 ,5.66 
75 ,348.15 ,3.3 ,— ,2.7 ,7.51 x 10^9 ,12.7 
100 ,373.15 ,10.2 ,31.2 ,20.1 ,1.22 x 10^10 ,94.8 
125 ,398.15 ,21.2 ,54.8 ,37.4 ,1.79 x 10^10 ,176.4 
150 ,423.15 ,48.8 ,102 ,74.8 ,2.49 x 10^10 ,352.8 
175 ,448.15 ,103.6 ,165 ,133.7 ,3.32 x 10^10 ,630.7 
200 ,473.15 ,199.6 ,271 ,234.7 ,4.29 x 10^10 ,1107.1 
225 ,498.15 ,348.5 ,447 ,397.15 ,5.44 x 10^10 ,1873.3 
250 ,523.15 ,565 ,681 ,622.4 ,6.77 x 10^10 ,2935.8 
275 ,548.15 ,866 ,944 ,904.4 ,8.31 x 10^10 ,4266 
283 ,556.15 ,1015 ,1015 ,1014.4 ,8.85 x 10^10 ,4784.9 
